Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,,,,,,,,,,,,,
opendevstack/ods-project-quickstarters,https://github.com/opendevstack/ods-project-quickstarters,FALSE,7/27/2018 11:53,"['reactjs', 'nodejs', 'spring-boot', 'rshiny', 'python', 'jenkins-slave', 'scala', 'rundeck']",10,35,20,0,26,Shell,6792,1,1,8,8,541,0,0,0,,,,,,,,,,,,,,,,
crplab/cdst,https://github.com/crplab/cdst,FALSE,10/21/2019 9:36,"['cookiecutter-template', 'python3', 'data-science-projects']",6,4,1,0,1,Python,62,0,0,1,0,12,0,0,12,,,,,,,,,,,,,,,,
khuyentran1401/Python-data-science-code-snippet,https://github.com/khuyentran1401/Python-data-science-code-snippet,FALSE,2/21/2021 12:20,[],51,2,33,0,1,Jupyter Notebook,2956,0,0,1,0,172,0,0,114,,,,,,,,,,,,,,,,
nodefluxio/vortex,https://github.com/nodefluxio/vortex,FALSE,6/19/2020 11:59,[],26,5,6,4,4,Python,17523,19,2,6,4,496,0,0,13,,,,,,,,,,,,,,,,
DAGsHub/fds,https://github.com/DagsHub/fds,FALSE,4/1/2021 5:43,"['dvc', 'git', 'data-science']",348,8,18,22,10,Python,226,14,7,9,23,268,0,0,0,,,,,,,,,,,,,,,,
CIA-Oceanix/4dvarnet-core,https://github.com/CIA-Oceanix/4dvarnet-core,FALSE,5/7/2021 9:05,[],8,3,5,1,6,Python,102711,5,5,19,4,477,0,0,0,,,,,,,,,,,,,,,,
AlexIoannides/data-science-and-ml-notebook,https://github.com/AlexIoannides/data-science-and-ml-notebook,FALSE,12/13/2020 22:40,"['mlflow', 'data-science', 'machine-learning', 'dagster', 'dvc', 'ibis', 'python', 'pytorch', 'spacy', 'sqlalchemy']",8,2,1,0,1,Jupyter Notebook,339,1,1,3,0,45,0,0,0,,,,,,,,,,,,,,,,
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,FALSE,6/26/2020 22:38,[],33,9,16,0,8,Python,21491,2,1,11,0,107,0,0,0,,,,,,,,,,,,,,,,
ChristophAlt/pytorch-lightning-hydra-cookiecutter,https://github.com/ChristophAlt/pytorch-lightning-hydra-cookiecutter,FALSE,8/20/2021 9:52,[],6,1,1,0,1,Python,82,0,0,1,0,9,0,0,0,,,,,,,,,,,,,,,,
jdvelasq/courses,https://github.com/jdvelasq/courses,FALSE,3/8/2021 16:55,"['analytics', 'data-science', 'big-data', 'big-data-analytics', 'training-materials']",6,2,6,0,2,,420829,13,1,1,0,164,0,0,160,,,,,,,,,,,,,,,,
ivanovitchm/mlops_nd_c3,https://github.com/ivanovitchm/mlops_nd_c3,FALSE,2/20/2022 12:34,"['mlops', 'machine-learning', 'census-bureau', 'data-science']",35,2,4,0,1,Jupyter Notebook,8389,0,0,1,0,104,0,0,9,,,,,,,,,,,,,,,,
graviraja/MLOps-Basics,https://github.com/graviraja/MLOps-Basics,FALSE,5/2/2021 10:35,[],3234,62,566,0,2,Jupyter Notebook,19615,4,1,16,2,116,0,0,0,,,,,,,,,,,,,,,,
mlrepa/dvc-2-iris-demo-project,https://github.com/mlrepa/dvc-2-iris-demo-project,FALSE,6/19/2019 18:13,[],13,3,3,0,1,Jupyter Notebook,73,4,4,5,0,5,0,0,0,,,,,,,,,,,,,,,,
styczynski/dvc-fs,https://github.com/styczynski/dvc-fs,FALSE,5/15/2021 20:45,"['dvc', 'python', 'python3', 'fs', 'pyfilesystem2']",1,1,0,0,1,Python,490,1,0,1,13,135,0,0,0,,,,,,,,,,,,,,,,
khuyentran1401/Efficient_Python_tricks_and_tools_for_data_scientists,https://github.com/khuyentran1401/Efficient_Python_tricks_and_tools_for_data_scientists,FALSE,6/20/2021 22:16,"['python', 'data-science', 'python3']",819,24,233,0,1,Jupyter Notebook,92864,2,1,1,0,355,0,0,327,,,,,,,,,,,,,,,,
dmesquita/dvc_pipelines_and_experiments_tutorial,https://github.com/dmesquita/dvc_pipelines_and_experiments_tutorial,FALSE,7/5/2020 21:26,"['machine-learning', 'pipelines', 'dvc', 'dvc-for-experiment-management', 'reproducibility', 'project-management', 'experiments']",14,2,5,0,1,Python,39,0,0,1,0,10,0,0,0,,,,,,,,,,,,,,,,
qsh-zh/pis,https://github.com/qsh-zh/pis,FALSE,2/2/2022 16:31,"['iclr2022', 'sampling']",19,2,2,0,1,Python,415,0,0,1,0,5,0,0,0,,,,,,,,,,,,,,,,
iterative/demo-bank-customer-churn,https://github.com/iterative/demo-bank-customer-churn,FALSE,3/14/2022 18:38,"['example', 'classification-algorithm', 'machine-learning', 'pipeline', 'python', 'reproducibility']",21,7,30,0,1,Jupyter Notebook,3345,1,0,4,16,21,39,0,212,,,,,,,,,,,,,,,,
tsuzcx/qq_apk,https://github.com/tsuzcx/qq_apk,FALSE,1/31/2022 2:43,"['tencent', 'qq', 'wechat', 'apk']",14,2,9,6,1,,2162292,2,1,2,6,66,0,0,0,,,,,,,,,,,,,,,,
aws-samples/amazon-sagemaker-experiments-dvc-demo,https://github.com/aws-samples/amazon-sagemaker-experiments-dvc-demo,FALSE,2/17/2022 9:11,"['data-version-control', 'docker', 'dvc', 'dvc-for-data-science', 'sagemaker', 'sagemaker-example', 'sagemaker-processing', 'sagemaker-studio', 'sagemaker-training', 'catboost', 'catboost-model']",8,4,0,0,3,Jupyter Notebook,1205,0,0,2,0,53,0,0,0,,,,,,,,,,,,,,,,
guildai/guildai,https://github.com/guildai/guildai,FALSE,9/27/2017 18:57,[],743,13,68,2,19,Python,16191,177,1,58,19,5200,5,0,0,,,,,,,,,,,,,,,,
nestauk/beis-indicators,https://github.com/nestauk/beis-indicators,FALSE,10/30/2019 15:40,"['svelte', 'sapper', 'dataviz', 'indicators', 'uk', 'beis', 'innovation', 'opendata', 'dashboard']",5,14,1,0,7,HTML,9467,54,6,10,7,264,0,0,0,,,,,,,,,,,,,,,,
HopkinsIDD/COVIDScenarioPipeline,https://github.com/HopkinsIDD/COVIDScenarioPipeline,FALSE,3/8/2020 18:28,[],102,22,47,1,16,R,513067,54,7,26,4,988,8,0,0,,,,,,,,,,,,,,,,
datalad-handbook/book,https://github.com/datalad-handbook/book,FALSE,6/18/2019 13:37,[],106,11,43,7,37,Python,10349,44,2,31,9,3134,6,0,0,,,,,,,,,,,,,,,,
c17hawke/wafer_mlops_docs,https://github.com/c17hawke/wafer_mlops_docs,FALSE,3/16/2021 3:46,[],39,2,41,0,1,Python,670,0,0,2,0,31,0,0,29,,,,,,,,,,,,,,,,
openvinotoolkit/datumaro,https://github.com/openvinotoolkit/datumaro,FALSE,9/1/2020 14:13,"['deep-learning', 'neural-networks', 'openvino-toolkit', 'computer-vision', 'datasets', 'format-converter', 'dataset', 'coco', 'imagenet', 'pascal-voc', 'yolo']",282,10,74,19,18,Python,13501,95,16,23,21,572,1,0,188,,,,,,,,,,,,,,,,
ctlab/ITMO_FS,https://github.com/ctlab/ITMO_FS,FALSE,2/26/2020 8:13,"['feature-selection', 'machine-learning']",115,8,30,0,16,Python,75969,10,5,8,0,596,0,0,0,,,,,,,,,,,,,,,,
Weed-AI/Weed-AI,https://github.com/Weed-AI/Weed-AI,FALSE,6/3/2020 4:21,"['weed-recognition', 'computer-vision', 'datasets', 'data-formats', 'mscoco']",22,8,3,1,7,Python,110540,148,5,265,1,931,8,0,0,,,,,,,,,,,,,,,,
eberharf/cfl,https://github.com/eberharf/cfl,FALSE,7/17/2020 21:53,[],12,1,0,7,4,Jupyter Notebook,156409,15,0,6,9,901,0,0,0,,,,,,,,,,,,,,,,
PeterFogh/dvc_dask_use_case,https://github.com/PeterFogh/dvc_dask_use_case,FALSE,3/16/2019 11:20,"['dvc', 'dask', 'example', 'usecase', 'guide', 'setup', 'mlflow', 'mlflow-tracking-server']",22,3,2,0,1,Python,64,0,0,1,0,28,0,0,0,,,,,,,,,,,,,,,,
szabgab/slides,https://github.com/szabgab/slides,FALSE,2/20/2018 14:57,"['slides', 'python', 'git', 'github', 'gitlab', 'golang', 'javascript', 'perl']",63,7,51,0,7,Python,14133,0,0,1,0,2981,0,0,0,,,,,,,,,,,,,,,,
MaybeShewill-CV/DVCNN_Lane_Detection,https://github.com/MaybeShewill-CV/DVCNN_Lane_Detection,FALSE,8/15/2017 11:38,"['lane-detection', 'deep-neural-networks', 'deep-learning', 'dual-view']",25,6,18,0,1,Python,147228,0,0,1,0,19,0,0,0,,,,,,,,,,,,,,,,
iterative/magnetic-tiles-defect,https://github.com/iterative/magnetic-tiles-defect,FALSE,2/18/2022 2:31,"['example', 'computer-vision', 'machine-learning', 'deep-learning', 'python']",28,14,12,0,2,Jupyter Notebook,858,1,1,2,9,9,68,0,361,,,,,,,,,,,,,,,,
iterative/mlem.ai,https://github.com/iterative/mlem.ai,FALSE,11/1/2021 16:04,[],16,21,6,0,15,TypeScript,4556,43,7,22,0,391,7,0,474,,,,,,,,,,,,,,,,
mildsunrise/ilo-protocol,https://github.com/mildsunrise/ilo-protocol,FALSE,1/9/2021 1:45,[],5,1,0,0,1,TypeScript,7772,0,0,1,1,39,0,0,0,,,,,,,,,,,,,,,,
iterative/dvc-render,https://github.com/iterative/dvc-render,FALSE,2/18/2022 15:39,[],5,9,3,13,9,Python,1007,19,2,5,13,92,0,0,52,,,,,,,,,,,,,,,,
d-one/d-one-mlops,https://github.com/d-one/d-one-mlops,FALSE,4/7/2022 8:10,[],11,2,10,0,2,Jupyter Notebook,16556,0,0,1,0,9,0,0,0,,,,,,,,,,,,,,,,
matyushkin/lessons,https://github.com/matyushkin/lessons,FALSE,11/27/2019 16:37,"['data-science', 'python', 'jupyter-notebook', 'jupyter', 'tensorflow', 'russian-language', 'russian', 'neural-network', 'python-plotly']",100,6,46,0,1,Jupyter Notebook,117879,0,0,1,0,197,0,0,0,,,,,,,,,,,,,,,,
GokuMohandas/follow,https://github.com/GokuMohandas/follow,FALSE,10/2/2021 4:47,[],9,2,12,0,1,Jupyter Notebook,1435,1,0,19,0,58,0,0,7,,,,,,,,,,,,,,,,
skit-ai/dialogy-template-simple-transformers,https://github.com/skit-ai/dialogy-template-simple-transformers,FALSE,2/22/2021 14:17,[],6,4,3,0,14,Python,919,14,3,32,116,436,0,0,0,,,,,,,,,,,,,,,,
gazprom-neft/standards,https://github.com/gazprom-neft/standards,FALSE,3/27/2019 12:10,"['machine-learning', 'deep-learning']",24,4,11,0,5,Jupyter Notebook,5806,0,0,1,0,50,0,0,0,,,,,,,,,,,,,,,,
iterative/dvclive,https://github.com/iterative/dvclive,FALSE,11/3/2020 10:32,"['machine-learning', 'visualization', 'developer-tools', 'deep-learning', 'dvc', 'logger']",75,21,14,43,20,Python,357,48,3,7,43,257,0,0,0,,,,,,,,,,,,,,,,
XiaoXiao-Woo/PanCollection,https://github.com/XiaoXiao-Woo/PanCollection,FALSE,6/14/2022 17:16,[],12,1,0,0,2,Python,1174,0,0,2,0,51,0,0,0,,,,,,,,,,,,,,,,
casparderksen/packer-kickstart-vagrant,https://github.com/casparderksen/packer-kickstart-vagrant,FALSE,10/24/2018 13:34,"['kickstart', 'packer', 'vagrant', 'centos', 'make', 'virtualbox', 'ansible', 'puppet', 'docker', 'weblogic', 'development-environment', 'dcos', 'minikube', 'oracle']",5,2,1,1,1,Jinja,131,0,0,1,1,67,0,0,0,,,,,,,,,,,,,,,,
iterative/vscode-dvc,https://github.com/iterative/vscode-dvc,FALSE,9/28/2020 18:04,"['vscode', 'vscode-extension', 'dvc', 'data', 'data-science', 'machine-learning', 'python', 'visual-studio-code']",125,23,16,61,21,TypeScript,48472,64,11,13,61,4028,9,0,24,,,,,,,,,,,,,,,,
GokuMohandas/mlops-course,https://github.com/GokuMohandas/mlops-course,FALSE,11/12/2020 3:05,"['machine-learning', 'applied-ml', 'deep-learning', 'pytorch', 'mlops']",1675,39,306,0,1,Jupyter Notebook,8880,0,0,2,1,14,0,0,38,,,,,,,,,,,,,,,,
open-mmlab/mmcv,https://github.com/open-mmlab/mmcv,FALSE,8/22/2018 7:05,[],4435,80,1250,53,220,Python,13415,177,54,4,99,1242,3,0,0,,,,,,,,,,,,,,,,
JialeCao001/PSTR,https://github.com/JialeCao001/PSTR,FALSE,4/7/2022 10:26,"['end-to-end-detection', 'person-search', 'transformer']",20,4,9,0,1,Python,13138,2,0,1,0,5,0,0,0,,,,,,,,,,,,,,,,
PacktPublishing/Production-Ready-Applied-Deep-Learning,https://github.com/PacktPublishing/Production-Ready-Applied-Deep-Learning,FALSE,12/8/2021 5:45,[],54,3,10,0,6,Jupyter Notebook,42525,0,0,12,0,364,0,0,0,,,,,,,,,,,,,,,,
akucia/analog-watch-recognition,https://github.com/akucia/analog-watch-recognition,FALSE,8/15/2021 7:32,"['computer-vision', 'dataset', 'analog-clock', 'analog-watch', 'tensorflow', 'dvc', 'python']",8,1,1,0,1,Python,3144,1,0,4,0,106,0,0,0,,,,,,,,,,,,,,,,
bvobart/mllint,https://github.com/bvobart/mllint,FALSE,3/2/2021 20:08,"['machine-learning', 'machinelearning', 'python', 'machinelearning-python', 'ai', 'artificial-intelligence', 'golang-application', 'pip', 'static-analysis', 'best-practices', 'engineering', 'linter', 'lint']",67,1,2,28,1,Go,1031,4,0,3,28,315,0,0,8,,,,,,,,,,,,,,,,
isidentical/snippets,https://github.com/isidentical/snippets,FALSE,5/14/2019 18:17,[],5,0,1,0,2,Python,1811,0,0,3,0,53,0,0,0,,,,,,,,,,,,,,,,
SunJackson/SunJackson.github.io,https://github.com/SunJackson/SunJackson.github.io,FALSE,7/23/2018 8:46,"['blog', 'page']",12,1,6,0,2,JavaScript,50116,1,1,1,0,537,0,0,205,,,,,,,,,,,,,,,,
achao2013/deep3dmap,https://github.com/achao2013/deep3dmap,FALSE,10/7/2021 3:45,[],35,2,1,0,1,Python,3717,2,0,1,1,64,0,0,0,,,,,,,,,,,,,,,,
amitvkulkarni/Versioning-ML-Models-datasets-With-DVC,https://github.com/amitvkulkarni/Versioning-ML-Models-datasets-With-DVC,FALSE,6/12/2021 14:25,[],5,1,5,0,1,HTML,2333,0,0,2,0,7,0,0,0,,,,,,,,,,,,,,,,
veit/jupyter-tutorial,https://github.com/veit/jupyter-tutorial,FALSE,8/1/2019 6:52,"['jupyter', 'jupyter-notebooks', 'jupyter-kernels', 'ipython', 'ipywidgets', 'ipython-widget', 'spack', 'pipenv', 'dvc', 'data-science', 'pandas']",14,5,7,1,5,Python,35395,45,1,3,71,1804,0,0,0,,,,,,,,,,,,,,,,
fengbingchun/PyTorch_Test,https://github.com/fengbingchun/PyTorch_Test,FALSE,1/24/2019 9:24,[],9,1,3,0,2,C++,264586,0,0,1,0,35,0,0,0,,,,,,,,,,,,,,,,
Amey-Thakur/TEXT-SUMMARIZER,https://github.com/Amey-Thakur/TEXT-SUMMARIZER,FALSE,12/18/2021 9:18,"['ameythakur', 'amey', 'text-summarizer', 'text-summariser', 'python', 'project', 'julia', 'research']",13,1,3,0,1,Python,118808,0,0,1,0,20,0,0,14,,,,,,,,,,,,,,,,
facebookresearch/NeuralCompression,https://github.com/facebookresearch/NeuralCompression,FALSE,7/9/2021 15:14,"['python', 'machine-learning', 'deep-learning', 'compression', 'neural-compression', 'pytorch', 'jax']",273,15,21,3,3,Python,1744,14,0,2,3,96,0,0,0,,,,,,,,,,,,,,,,
shrivastava-piyush/nlp-code-summarization,https://github.com/shrivastava-piyush/nlp-code-summarization,FALSE,11/16/2020 12:59,[],5,1,1,0,1,Jupyter Notebook,33209,0,0,1,0,10,0,0,0,,,,,,,,,,,,,,,,
phamdinhkhanh/general_ocr,https://github.com/phamdinhkhanh/general_ocr,FALSE,10/13/2021 7:23,[],57,1,13,1,2,Python,39148,2,0,1,1,9,0,0,0,,,,,,,,,,,,,,,,
AI-Core/Content-Public,https://github.com/AI-Core/Content-Public,FALSE,4/27/2022 12:23,[],7,0,3,0,1,Jupyter Notebook,343287,0,0,1,0,51,0,0,0,,,,,,,,,,,,,,,,
kevinslin/seed-tldr,https://github.com/kevinslin/seed-tldr,FALSE,3/13/2021 19:36,[],7,3,4,0,3,CoffeeScript,5213,1,1,2,0,132,0,0,5377,,,,,,,,,,,,,,,,
iterative/workshop-uncool-mlops-solution,https://github.com/iterative/workshop-uncool-mlops-solution,FALSE,2/25/2022 13:46,[],6,4,2,0,1,Python,2016,1,1,2,4,9,1,0,0,,,,,,,,,,,,,,,,
whisk-ml/whisk,https://github.com/whisk-ml/whisk,FALSE,5/4/2020 12:33,[],9,2,0,0,2,Python,336,5,1,34,32,254,2,0,0,,,,,,,,,,,,,,,,
iterative/dvc-streamlit-components,https://github.com/iterative/dvc-streamlit-components,FALSE,10/5/2021 7:44,[],9,18,1,2,1,Python,3041,2,0,2,2,27,0,0,0,,,,,,,,,,,,,,,,
pyronear/pyro-risks,https://github.com/pyronear/pyro-risks,FALSE,9/30/2020 17:19,"['python3', 'wildfire-forecasting', 'scikit-learn']",17,5,7,2,6,Python,6634,16,3,8,2,34,18,0,61,,,,,,,,,,,,,,,,
VladCroitoru/dockerfile_smells_project,https://github.com/VladCroitoru/dockerfile_smells_project,FALSE,11/11/2021 22:57,[],9,1,7,0,1,,170501,1,0,1,0,45,0,0,0,,,,,,,,,,,,,,,,
jcpsantiago/dvthis,https://github.com/jcpsantiago/dvthis,FALSE,6/8/2021 6:44,[],21,2,0,0,1,R,74,1,0,1,0,30,0,0,0,,,,,,,,,,,,,,,,
madebyollin/singing-style-transfer,https://github.com/madebyollin/singing-style-transfer,FALSE,1/10/2019 20:42, 'wandb', 'project-structure', 'config', 'deep-learning', 'hydra', 'template', 'pytorch', 'research', 'experiments', 'reproducibility', 'experiment-tracking', 'best-practices', 'neptune', 'mlflow', 'tensorboard', 'comet', 'mlops']",1867,16,307,6,23,Python,3693,26,1,5,6,383,3,0,0
spellml/examples,https://github.com/spellml/examples,FALSE,9/4/2018 20:11,[],39,5,8,0,11,Jupyter Notebook,127767,0,0,3,0,190,2,0,0,,,,,,,,,,,,,,,,
Seagate/cortx,https://github.com/Seagate/cortx,FALSE,4/8/2020 16:28,"['s3-storage', 'software-defined-storage', 'storage', 'storage-api', 'object-storage', 'object-storage-service', 'objectstorage', 'objectstore', 'opensource', 'open-source', 'hacktoberfest', 'hacktoberfest2020', 'cortx-community', 'inclusivity', 'hackathons', 's3', 'distributed-systems', 'distributed-storage', 'bigdata', 'big-data']",596,59,345,19,219,Jupyter Notebook,2130502,34,10,12,22,6888,31,0,0,,,,,,,,,,,,,,,,
Sarang0218/ResearchAndDevFor_Fardlang,https://github.com/Sarang0218/ResearchAndDevFor_Fardlang,FALSE,2/5/2022 15:10,[],5,1,0,0,1,Python,145489,0,0,1,0,4,0,0,0,,,,,,,,,,,,,,,,
InfuseAI/ArtiVC,https://github.com/InfuseAI/ArtiVC,FALSE,2/6/2022 15:10,"['storage', 'version-control', 'machinelearning', 'data']",218,9,9,13,7,Go,2305,6,0,3,13,251,0,0,0,,,,,,,,,,,,,,,,
bertbesser/dvc-walkthrough,https://github.com/bertbesser/dvc-walkthrough,FALSE,3/6/2019 9:41,[],17,1,4,0,3,Shell,1511,5,5,7,1,69,0,0,0,,,,,,,,,,,,,,,,
U77w41/Simple_DVC_Demo,https://github.com/U77w41/Simple_DVC_Demo,FALSE,7/28/2022 7:55,[],5,1,1,0,1,Python,5,0,0,1,0,7,0,0,0,,,,,,,,,,,,,,,,
kevin-hanselman/dud,https://github.com/kevin-hanselman/dud,FALSE,2/26/2020 4:20,"['machine-learning', 'dvcs', 'data-science', 'dataset', 'mlops', 'data-engineering', 'data-pipelines']",117,6,1,7,3,Go,3088,11,3,6,7,303,0,0,49,,,,,,,,,,,,,,,,
